source,target,value
PRK,USA,5
PRK,USA,9
PRK,USA,2
PRY,USA,1
PSE,USA,2
PTY,USA,2
RUSGOV,USA,3
RUS,USA,4
RUS,USA,1
SAU,USA,1
SCGSRBGOV,USA,1
TJK,USA,2
TUR,USA,4
TUR,USA,4
TUR,USA,1
TUR,USA,1
ukr,USA,1
USABUS,USA,1
USACOP,USA,2
USAELIGOV,USA,2
USAELI,USA,1
USAGOV,USA,1
USAGOV,USA,1
USAGOV,USA,4
USAGOV,USA,1
USAGOV,USA,1
USAGOV,USA,2
USAGOV,USA,2
USAGOV,USA,1
USAGOV,USA,1
USAGOV,USA,2
USAGOV,USA,3
USAGOV,USA,1
USAJUD,USA,1
USAJUD,USA,1
VNM,USA,1
ZMBGOV,USA,1
ZMB,USA,1
ZWE,USA,2
PRK,CHN,1
PRK,CHN,2
REF,CHN,1
REF,CHN,1
RUS,CHN,1
RUS,CHN,2
SEP,CHN,1
tib,CHN,2
TWN,CHN,1
TWN,CHN,2
TWN,CHN,1
TWN,CHN,2
USA,CHN,2
USA,CHN,2
USAEDU,CHN,1
VNM,CHN,1
RUSGOV,RUS,6
RUSGOV,RUS,1
RUSGOV,RUS,3
RUSGOV,RUS,6
RUSGOV,RUS,3
RUSGOV,RUS,2
RUSGOV,RUS,1
RUSGOV,RUS,3
RUSGOV,RUS,1
RUSGOV,RUS,1
RUSJUD,RUS,1
RUSMED,RUS,1
RUSMIL,RUS,1
RUSREL,RUS,1
SPY,RUS,1
SWE,RUS,2
TKM,RUS,1
TUR,RUS,2
UKRGOV,RUS,1
UKR,RUS,1
UKR,RUS,4
USAGOV,RUS,2
USAGOV,RUS,2
USAGUM,RUS,1
USAMED,RUS,1
USA,RUS,3
USA,RUS,1
USA,RUS,1
USA,RUS,4
USA,RUS,1
USA,RUS,4
USA,RUS,1
VNM,RUS,2
VNM,RUS,3
VNM,RUS,1
